@RELATION svmTaps
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {a,enter,space}

@DATA
0.118875,0.023413,3.123962,0.258979,0.281192,0.727381,0.001912,0.105072,-22.968185,1.581624,0.071751,0.801309,0.405760,0.250402,0.111261,-0.298944,-0.148037,-0.125714,0.028210,0.204647,-0.081001,0.018909,0.002105,0.074046,0.015116,0.053971,0.007357,0.018680,0.004819,0.004341,0.006641,0.019396,0.001999,0.024334,0.025906,0.019336,0.163556,0.035155,0.022721,0.245602,0.001382,0.042868,0.651677,0.277794,0.213798,0.151566,0.161778,0.203594,0.135897,0.158848,0.124047,0.132599,0.159242,0.129153,0.105592,0.011067,0.001508,0.030519,0.008967,0.022784,0.003201,0.010475,0.002014,0.003751,0.003890,0.017237,0.001210,0.006457,a
0.119567,0.010058,3.059526,0.257746,0.279267,0.755798,0.002172,0.111615,-24.364978,1.636283,0.061437,0.824857,0.410875,0.186276,0.108259,-0.320374,-0.179664,-0.157294,0.060196,0.210125,-0.057002,0.015757,0.002812,0.072131,0.011642,0.056690,0.008908,0.020369,0.005798,0.003599,0.008556,0.014155,0.001862,0.023100,0.026829,0.010776,0.300239,0.040744,0.025632,0.299453,0.001841,0.050883,0.943752,0.220646,0.167755,0.158154,0.228743,0.269797,0.168899,0.220616,0.145834,0.167035,0.167117,0.119630,0.149548,0.008115,0.001839,0.022948,0.007602,0.018190,0.004775,0.012734,0.003362,0.001771,0.009428,0.010607,0.000801,0.005856,a
0.120928,0.005830,3.004703,0.269831,0.282666,0.774357,0.003147,0.125513,-27.685034,1.666507,0.099319,0.666765,0.393859,0.250765,0.117229,-0.252340,-0.037606,-0.108804,0.128996,0.189812,0.045592,0.009340,0.002169,0.038227,0.013843,0.059888,0.006465,0.096367,0.004433,0.002414,0.006289,0.017299,0.001876,0.031037,0.028114,0.017033,0.429860,0.047967,0.028716,0.279602,0.004691,0.053510,1.860028,0.339095,0.314097,0.213063,0.208288,0.306088,0.175415,0.124617,0.179266,0.151502,0.248741,0.117354,0.132914,0.011823,0.002296,0.019284,0.006329,0.024580,0.004924,0.040601,0.002807,0.001715,0.004078,0.018308,0.001914,0.008898,enter
0.115006,0.001374,3.004889,0.282813,0.287629,0.812677,0.002148,0.133346,-27.366556,1.746521,0.279804,0.622858,0.464174,0.253223,0.210674,-0.278692,-0.159148,-0.142311,0.070945,0.156173,0.088170,0.010442,0.001277,0.058133,0.017842,0.059156,0.005123,0.079676,0.002715,0.002401,0.007370,0.014467,0.001241,0.030035,0.032765,0.001341,0.434368,0.051502,0.017627,0.469443,0.001818,0.139678,0.704527,0.190263,0.239340,0.228013,0.144603,0.195132,0.175872,0.142694,0.144866,0.202513,0.128798,0.146117,0.153626,0.006010,0.000863,0.026769,0.010513,0.027320,0.002623,0.039624,0.001331,0.001214,0.005818,0.012941,0.000691,0.007668,enter
0.138361,0.005254,2.988886,0.291304,0.291050,0.884911,0.001944,0.157990,-25.584390,1.619327,0.202917,0.546637,0.340721,0.185554,0.159580,-0.313661,-0.050496,-0.004627,0.152287,0.256451,0.103593,0.006404,0.001109,0.028187,0.014958,0.054484,0.007651,0.108746,0.004050,0.002825,0.007986,0.020708,0.001833,0.033183,0.047400,0.007497,0.693497,0.050857,0.020955,0.444486,0.001422,0.136224,0.967782,0.133860,0.206462,0.187689,0.189230,0.309729,0.150270,0.117883,0.168813,0.152023,0.161276,0.128714,0.148530,0.005057,0.000403,0.014072,0.009178,0.027300,0.006712,0.047216,0.002269,0.001325,0.003349,0.028901,0.001414,0.011676,enter
0.124176,0.014813,3.050546,0.273760,0.284949,0.803531,0.001905,0.119496,-24.009449,1.630405,0.195606,0.713758,0.529025,0.281220,0.131317,-0.281999,-0.113341,-0.146849,0.087199,0.117260,-0.009526,0.012833,0.001916,0.062487,0.013951,0.052230,0.004848,0.068171,0.005410,0.002073,0.007400,0.021898,0.001656,0.026178,0.019299,0.013078,0.275201,0.036856,0.021552,0.293381,0.002001,0.048416,0.818237,0.245421,0.294878,0.198445,0.191127,0.200900,0.162144,0.139593,0.160528,0.173982,0.189755,0.163387,0.144084,0.008321,0.003509,0.017260,0.007312,0.020239,0.003255,0.022911,0.002429,0.001653,0.006533,0.015186,0.001076,0.003982,enter
0.121836,0.003376,3.022624,0.275446,0.287663,0.724535,0.002234,0.106218,-27.966398,1.746027,0.255975,0.713837,0.391343,0.201612,0.217198,-0.249976,-0.119167,-0.211369,0.112788,0.248588,0.038518,0.010943,0.001397,0.060498,0.017229,0.051770,0.005575,0.105276,0.004547,0.002134,0.007127,0.012488,0.001177,0.032582,0.018286,0.009564,0.359716,0.040029,0.024148,0.191023,0.002765,0.043534,1.599607,0.198450,0.231755,0.199562,0.149893,0.251580,0.215918,0.130116,0.156701,0.225600,0.168467,0.141861,0.186401,0.008732,0.001388,0.012864,0.009840,0.017886,0.003132,0.031275,0.003746,0.001234,0.003693,0.011745,0.000815,0.006838,enter
0.115699,0.021826,3.061783,0.275701,0.289212,0.698588,0.001854,0.101251,-23.586049,1.774531,0.348100,0.629867,0.394736,0.209808,0.127586,-0.348904,-0.156847,-0.110830,0.163638,0.200830,0.044187,0.010448,0.000915,0.049042,0.019262,0.058896,0.004992,0.104395,0.003790,0.002140,0.008545,0.015050,0.001400,0.033154,0.017860,0.017989,0.217065,0.032211,0.018127,0.158271,0.001404,0.042281,0.842720,0.189598,0.217276,0.197516,0.149133,0.321638,0.158630,0.139007,0.100178,0.128305,0.176117,0.152156,0.096691,0.008319,0.000557,0.018478,0.018445,0.021891,0.002329,0.032919,0.001666,0.001140,0.006308,0.016254,0.000941,0.006606,enter
0.120188,0.022063,3.101543,0.273326,0.285931,0.748796,0.001853,0.119305,-23.430302,1.688397,0.194622,0.727026,0.427421,0.208481,0.186179,-0.241909,-0.072058,-0.141802,0.161975,0.194888,0.085339,0.008362,0.001567,0.045435,0.014632,0.057526,0.008611,0.104336,0.002885,0.001930,0.006018,0.018955,0.001780,0.032642,0.021863,0.016065,0.156089,0.031671,0.015490,0.243973,0.001147,0.056689,0.606769,0.204395,0.292217,0.206256,0.180428,0.183863,0.180538,0.148367,0.200186,0.136392,0.212853,0.122132,0.170507,0.008803,0.001264,0.016943,0.011470,0.024098,0.004993,0.037433,0.001697,0.001216,0.003392,0.012035,0.001942,0.007631,enter
0.131866,0.021245,3.095888,0.277781,0.289246,0.764436,0.001648,0.116057,-23.316267,1.677462,0.189348,0.686892,0.464440,0.286120,0.204647,-0.312264,-0.153145,-0.140972,0.130484,0.162602,0.068207,0.010622,0.001627,0.051555,0.014415,0.058771,0.009192,0.074060,0.005229,0.002785,0.007234,0.019502,0.001351,0.026506,0.030108,0.012598,0.181009,0.032523,0.015253,0.223493,0.001105,0.041768,0.648998,0.227591,0.294728,0.153431,0.167045,0.296448,0.151234,0.128871,0.144732,0.180887,0.111189,0.199083,0.198660,0.007973,0.001045,0.021478,0.008432,0.015841,0.007208,0.027518,0.001838,0.001621,0.005602,0.012890,0.000937,0.005654,enter
