@RELATION svmTaps
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {a,enter,space}

@DATA
0.093634,0.004050,3.057633,0.257498,0.283445,0.549167,0.002441,0.063569,-27.463623,1.821809,0.340724,0.723604,0.449861,0.189861,0.134724,-0.243812,-0.142705,-0.219574,0.062207,0.173208,0.017801,0.014012,0.001587,0.053270,0.011077,0.032077,0.007412,0.043072,0.002210,0.001524,0.005083,0.109367,0.001119,0.034486,0.026130,0.010188,0.255593,0.037261,0.026768,0.233024,0.002052,0.047618,1.636171,0.223966,0.241248,0.218858,0.184973,0.250038,0.130603,0.131169,0.160915,0.231280,0.132614,0.113908,0.079419,0.016430,0.001992,0.014721,0.006266,0.012964,0.008081,0.030930,0.001247,0.000906,0.004105,0.048139,0.000703,0.009918,enter
0.116296,0.004604,3.111503,0.278623,0.285930,0.808057,0.002022,0.129143,-25.624794,1.641601,0.138748,0.579296,0.359304,0.191224,0.196622,-0.225418,-0.078172,-0.126140,0.181003,0.339071,0.105117,0.005963,0.001434,0.031715,0.015669,0.056161,0.007026,0.114158,0.003699,0.002940,0.006395,0.020919,0.001485,0.034985,0.022463,0.003655,0.200638,0.034713,0.021142,0.247945,0.001370,0.049382,0.848148,0.304080,0.316176,0.156711,0.210326,0.235641,0.175856,0.146365,0.190022,0.117537,0.181270,0.108255,0.204754,0.006572,0.001452,0.015456,0.010506,0.023794,0.004041,0.038044,0.001814,0.002257,0.003405,0.030785,0.001008,0.007379,enter
0.122552,0.014894,3.067272,0.272775,0.289154,0.693103,0.001556,0.100153,-24.035803,1.790212,0.232278,0.664525,0.392194,0.194208,0.175669,-0.285541,-0.135591,-0.122440,0.073697,0.131042,-0.030783,0.015396,0.001800,0.063577,0.012517,0.048096,0.008250,0.089363,0.004565,0.002854,0.008040,0.018642,0.001225,0.030002,0.033029,0.016480,0.251788,0.037142,0.019019,0.162753,0.000891,0.032806,0.913850,0.175184,0.284689,0.201017,0.184422,0.226831,0.157342,0.136206,0.135382,0.118254,0.135153,0.120561,0.150090,0.006777,0.001109,0.026431,0.007151,0.020552,0.005488,0.023161,0.002191,0.001724,0.004470,0.019704,0.000809,0.005320,enter
0.130194,0.017269,2.949513,0.276206,0.287154,0.778404,0.001815,0.127901,-23.899422,1.779035,0.378285,0.770941,0.429433,0.171308,0.224929,-0.288835,-0.191595,-0.242349,0.039052,0.144902,0.002041,0.021500,0.001214,0.069527,0.011907,0.050979,0.006320,0.083136,0.003077,0.002844,0.006385,0.015962,0.001041,0.031466,0.047330,0.010923,0.684507,0.028295,0.014767,0.326105,0.000966,0.106924,0.685060,0.287180,0.168412,0.287888,0.144726,0.149618,0.125085,0.224099,0.178206,0.143009,0.160269,0.172467,0.106034,0.023304,0.000808,0.029142,0.008186,0.019771,0.002849,0.038544,0.001828,0.001607,0.004846,0.014907,0.000635,0.007673,enter
0.112881,0.002716,3.007513,0.264029,0.280451,0.709416,0.002705,0.098911,-28.484453,1.722608,0.238259,0.646478,0.420696,0.201377,0.196373,-0.251481,-0.137546,-0.144623,0.045043,0.137636,0.040881,0.012098,0.001439,0.062488,0.014119,0.049221,0.005105,0.099111,0.003139,0.002031,0.008382,0.014007,0.001160,0.032403,0.026553,0.007029,0.367002,0.042408,0.028147,0.278912,0.003250,0.041564,1.908323,0.365883,0.280473,0.181658,0.196297,0.322112,0.134946,0.153130,0.148911,0.144569,0.153125,0.130227,0.169643,0.005660,0.001126,0.026361,0.008399,0.020325,0.003837,0.042976,0.001704,0.001115,0.005399,0.007184,0.000804,0.009155,enter
0.112332,0.014029,3.144105,0.280312,0.291519,0.690024,0.001743,0.092463,-24.167738,1.774199,0.245383,0.715755,0.451923,0.213294,0.237258,-0.303690,-0.136067,-0.140723,0.046157,0.111056,0.004309,0.018057,0.001065,0.063311,0.012760,0.055102,0.004097,0.103154,0.003877,0.002826,0.006405,0.010179,0.001137,0.034490,0.020795,0.009739,0.087500,0.032193,0.017619,0.214365,0.001146,0.047225,0.771939,0.125203,0.321488,0.133013,0.216397,0.250712,0.172264,0.140758,0.098216,0.117316,0.136607,0.125058,0.145741,0.026786,0.000613,0.020997,0.008651,0.022074,0.002160,0.035415,0.002094,0.002057,0.004449,0.006291,0.000637,0.006139,enter
0.138982,0.011602,2.895684,0.277934,0.290249,0.741291,0.001914,0.116487,-24.336458,1.711718,0.224323,0.672171,0.397463,0.214271,0.207313,-0.213458,-0.095604,-0.155060,0.161060,0.158611,-0.009108,0.012812,0.001681,0.051930,0.012478,0.060919,0.007373,0.076513,0.004746,0.002283,0.007397,0.019535,0.001421,0.027976,0.038631,0.011538,0.701177,0.035716,0.017106,0.185149,0.001202,0.040702,0.783802,0.321833,0.234738,0.223452,0.176257,0.211150,0.241213,0.136283,0.118215,0.150270,0.098382,0.132262,0.095508,0.011550,0.001000,0.022974,0.007619,0.024648,0.005265,0.023332,0.002286,0.001606,0.006448,0.018656,0.000862,0.005624,enter
0.131842,0.011754,3.080328,0.281689,0.288178,0.837283,0.001892,0.140224,-24.289158,1.566045,0.271242,0.711094,0.403015,0.173035,0.134975,-0.262084,-0.074606,-0.094683,0.170272,0.273080,0.116035,0.011349,0.001356,0.039501,0.012487,0.057510,0.008844,0.094843,0.003964,0.002775,0.008340,0.018337,0.001328,0.030211,0.022677,0.010512,0.197674,0.036517,0.018740,0.181226,0.001234,0.042656,0.811471,0.165146,0.149510,0.235437,0.205689,0.209777,0.135995,0.124078,0.157788,0.131060,0.164438,0.167291,0.147493,0.012189,0.000754,0.026940,0.008960,0.020529,0.007483,0.031574,0.002210,0.002890,0.005519,0.012630,0.000636,0.007141,enter
0.131579,0.013623,3.064772,0.288864,0.291099,0.770881,0.002342,0.128284,-24.696701,1.902865,0.314687,0.868316,0.221785,0.090413,0.165343,-0.147854,-0.104380,-0.165566,0.089718,0.247848,0.124022,0.009756,0.001423,0.069371,0.018854,0.067272,0.007731,0.051093,0.002823,0.002656,0.005379,0.018701,0.001431,0.028745,0.032900,0.020013,0.231169,0.040305,0.023805,0.181398,0.002643,0.060967,0.834507,0.128857,0.155301,0.145640,0.133651,0.150719,0.107816,0.170015,0.214909,0.120614,0.139446,0.102273,0.122018,0.005481,0.000806,0.042013,0.013727,0.026289,0.005806,0.019646,0.001597,0.002145,0.002506,0.013457,0.001266,0.007666,space
0.121955,0.008584,3.025991,0.280918,0.287393,0.751330,0.002242,0.109800,-25.106359,1.918447,0.351509,0.866379,0.265020,0.093497,0.186798,-0.210291,-0.144549,-0.150288,0.005361,0.046304,0.012500,0.020553,0.001373,0.089331,0.019369,0.049276,0.004511,0.034662,0.002882,0.002216,0.007122,0.022455,0.001460,0.029273,0.027047,0.009340,0.359959,0.038268,0.025909,0.229729,0.002298,0.062338,0.974657,0.227125,0.184628,0.146355,0.165699,0.093306,0.129354,0.162178,0.126121,0.174126,0.155541,0.154708,0.138310,0.012226,0.000891,0.026915,0.019433,0.021629,0.002644,0.030400,0.001700,0.001255,0.003008,0.026316,0.000989,0.006942,space
0.111042,0.018865,3.046405,0.259433,0.275823,0.759525,0.003237,0.113764,-24.147952,1.881431,0.368471,0.808898,0.215125,0.148226,0.213171,-0.141717,-0.161205,-0.250254,0.008870,0.049585,0.073442,0.013654,0.001242,0.093464,0.017049,0.044015,0.006782,0.041586,0.001983,0.002062,0.009325,0.018743,0.001551,0.030321,0.030056,0.015495,0.207154,0.040981,0.032280,0.344977,0.003249,0.071682,1.256978,0.422131,0.252975,0.235820,0.235131,0.136145,0.186454,0.199437,0.152722,0.153543,0.145664,0.169026,0.130960,0.008626,0.000978,0.028354,0.016348,0.023427,0.006082,0.040657,0.001925,0.002177,0.009508,0.021259,0.001323,0.008425,space
0.137931,0.006075,3.105860,0.293307,0.290647,0.853633,0.002220,0.195291,-25.474600,1.760178,0.197543,0.876213,0.256857,0.154387,0.125967,-0.169097,-0.100197,-0.076676,0.128971,0.194617,0.156750,0.008870,0.001424,0.055028,0.017278,0.069489,0.008008,0.036457,0.003722,0.002708,0.007395,0.023184,0.001574,0.027341,0.038537,0.007191,0.258501,0.045342,0.028180,0.245734,0.002118,0.128123,1.021730,0.286816,0.171465,0.124150,0.177410,0.132593,0.138728,0.159642,0.132260,0.240420,0.150280,0.174930,0.121148,0.006256,0.000661,0.045369,0.010590,0.034567,0.008982,0.023755,0.002499,0.001894,0.003838,0.018936,0.000959,0.009177,space
0.117514,0.005502,3.014029,0.284252,0.296717,0.611121,0.001952,0.068010,-25.826449,2.092068,0.420320,0.909548,0.268497,0.179907,0.179166,-0.242663,-0.286148,-0.273867,0.018798,0.121989,0.005002,0.019862,0.000900,0.086792,0.015884,0.058621,0.007817,0.052406,0.002176,0.002217,0.007021,0.015909,0.000773,0.030085,0.024669,0.005945,0.240260,0.026025,0.018383,0.266136,0.001421,0.042607,0.809109,0.195014,0.184186,0.145360,0.151305,0.148620,0.112003,0.170649,0.153612,0.117004,0.159174,0.224085,0.119118,0.009774,0.000473,0.033098,0.009279,0.027222,0.004304,0.020302,0.001018,0.001041,0.005008,0.013079,0.000318,0.005456,space
0.130600,0.009536,3.111115,0.290681,0.292032,0.742529,0.001896,0.111711,-24.796016,1.878841,0.274210,0.806693,0.209040,0.104435,0.098115,-0.150747,-0.131205,-0.178494,0.138535,0.243816,0.149996,0.008158,0.001407,0.045354,0.021050,0.069981,0.010023,0.087163,0.002694,0.002264,0.006169,0.016257,0.001050,0.031573,0.025596,0.008662,0.171319,0.034929,0.024670,0.126311,0.001422,0.042083,0.679835,0.245181,0.223389,0.127094,0.130504,0.206545,0.109924,0.150536,0.127346,0.131112,0.099314,0.125512,0.156927,0.006652,0.000927,0.028230,0.011968,0.026779,0.007267,0.031930,0.001780,0.001370,0.003152,0.017937,0.000768,0.006090,space
0.116200,0.000495,3.064056,0.265136,0.278303,0.772763,0.002192,0.104595,-28.886611,1.773327,0.334064,0.808121,0.326146,0.214830,0.141780,-0.161145,-0.180400,-0.165912,0.082049,0.085808,0.068053,0.019149,0.001208,0.081849,0.014766,0.044006,0.008407,0.046930,0.002043,0.003256,0.006676,0.020391,0.001481,0.028155,0.020645,0.000469,0.212990,0.034709,0.030119,0.349913,0.001512,0.066743,1.126099,0.376627,0.224628,0.227800,0.219397,0.153673,0.146890,0.202418,0.166038,0.154736,0.119587,0.118464,0.147625,0.019403,0.000901,0.034258,0.010658,0.026266,0.005915,0.033177,0.001282,0.003096,0.005785,0.015773,0.001334,0.008648,space
0.114744,0.020681,3.103947,0.276422,0.289715,0.612742,0.002203,0.077706,-23.930391,2.033957,0.339470,0.887443,0.285281,0.162711,0.099434,-0.215721,-0.185283,-0.271842,-0.003168,0.119104,0.026101,0.026428,0.000895,0.090074,0.017675,0.057035,0.006740,0.030530,0.002315,0.004342,0.006937,0.017232,0.001796,0.029513,0.024371,0.016750,0.199646,0.038987,0.025147,0.159873,0.001955,0.040850,0.841992,0.272244,0.213466,0.177588,0.180084,0.197497,0.200332,0.175140,0.137123,0.116592,0.147506,0.149646,0.154450,0.018122,0.000686,0.029478,0.015871,0.026901,0.003315,0.016615,0.001539,0.008023,0.004740,0.016538,0.003143,0.005475,space
0.108224,0.019759,3.091803,0.281927,0.293542,0.597616,0.002197,0.072022,-24.135708,2.040427,0.337056,0.917090,0.249783,0.146800,0.129979,-0.201416,-0.270478,-0.232075,0.050109,0.110159,0.048408,0.017413,0.001237,0.096613,0.018347,0.047774,0.008278,0.061210,0.003016,0.001873,0.006089,0.021252,0.000766,0.032008,0.024432,0.021995,0.177691,0.034074,0.022181,0.127153,0.002064,0.039796,0.678053,0.243878,0.150191,0.119017,0.161851,0.164636,0.151487,0.203479,0.138596,0.173438,0.168924,0.103434,0.111918,0.008271,0.000687,0.019450,0.014802,0.015918,0.004572,0.037760,0.001920,0.001556,0.002940,0.025686,0.000387,0.006863,space
0.120140,0.002306,3.023602,0.278801,0.286981,0.697896,0.001884,0.094517,-28.996833,1.899459,0.262574,0.890565,0.311243,0.092715,0.089541,-0.179876,-0.179749,-0.172828,0.135662,0.168920,0.065729,0.012673,0.000856,0.067334,0.018109,0.057933,0.005367,0.074029,0.002876,0.002831,0.006731,0.019165,0.001275,0.029680,0.019569,0.007247,0.314853,0.040636,0.030990,0.177599,0.001150,0.046182,1.890405,0.260258,0.163036,0.158097,0.210795,0.161927,0.185143,0.242227,0.194794,0.201835,0.117285,0.133737,0.169125,0.008502,0.000492,0.019988,0.017404,0.019138,0.003890,0.036244,0.001592,0.001963,0.003046,0.017400,0.000882,0.006004,space
0.125155,0.016802,3.049830,0.286201,0.287984,0.759239,0.001765,0.118588,-24.252836,1.910586,0.228713,0.809824,0.267122,0.114053,0.130562,-0.117613,-0.147027,-0.153665,0.159179,0.256477,0.156003,0.007735,0.001455,0.059465,0.016646,0.079078,0.009336,0.045795,0.003024,0.002607,0.005470,0.019846,0.001120,0.029507,0.017623,0.019680,0.234498,0.040856,0.028898,0.120522,0.000960,0.046669,0.918081,0.313099,0.215031,0.160541,0.172383,0.126795,0.125549,0.120559,0.160723,0.162812,0.141514,0.105922,0.153393,0.004174,0.001118,0.026809,0.013210,0.032225,0.004994,0.021643,0.002372,0.002068,0.002425,0.026582,0.000685,0.003688,space
0.119090,0.013593,3.018925,0.280893,0.291603,0.631371,0.001775,0.075031,-24.308838,2.007553,0.336509,0.892229,0.245941,0.196546,0.117506,-0.180928,-0.172227,-0.168093,0.060249,0.087668,0.067810,0.019236,0.000923,0.097137,0.014861,0.062883,0.005910,0.026273,0.002465,0.002470,0.007583,0.018131,0.000945,0.031557,0.021644,0.008378,0.239479,0.036807,0.024855,0.190084,0.001180,0.038947,0.841618,0.242806,0.154339,0.132646,0.132260,0.119789,0.153045,0.147691,0.149831,0.202928,0.108208,0.200368,0.144405,0.017506,0.000581,0.021741,0.009922,0.030818,0.004643,0.028948,0.001506,0.001508,0.005692,0.013168,0.000715,0.005823,space
