@RELATION models/svmModel
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {audio_data/a,audio_data/space}

@DATA
0.502842,0.061492,3.310671,0.500902,0.286693,3.308676,0.000479,0.891394,-22.961617,0.237250,0.073403,0.026545,-0.093114,-0.158634,-0.096714,-0.059683,-0.062616,-0.021359,-0.092095,-0.081242,-0.002747,0.002040,0.001320,0.002547,0.002196,0.002342,0.001709,0.002131,0.001221,0.001565,0.001884,0.002159,0.001451,0.000828,0.011071,0.001810,0.003225,0.004449,0.001756,0.004837,0.000114,0.006127,0.161240,0.135365,0.137309,0.151970,0.144878,0.113916,0.118963,0.152055,0.152501,0.166723,0.151965,0.120407,0.100661,0.000720,0.000455,0.001203,0.000627,0.000846,0.000918,0.000572,0.000460,0.000736,0.000833,0.000760,0.000681,0.000182,audio_data/a
0.491475,0.062605,3.311382,0.496547,0.287127,3.307098,0.000470,0.884707,-22.789843,0.339905,0.163581,0.169836,0.014427,-0.027441,-0.038784,-0.066879,-0.092699,-0.043102,-0.018968,-0.043563,0.028837,0.002202,0.001582,0.003347,0.001774,0.002653,0.001965,0.002703,0.001449,0.001913,0.001994,0.002261,0.001295,0.001052,0.009028,0.001749,0.003366,0.003410,0.002307,0.004458,0.000113,0.009139,0.152781,0.154680,0.141728,0.149236,0.125592,0.102755,0.101518,0.140427,0.147125,0.085483,0.107348,0.099154,0.131998,0.000885,0.000748,0.001774,0.000784,0.001588,0.000952,0.000668,0.000457,0.000849,0.000890,0.001050,0.000527,0.000371,audio_data/a
0.504752,0.061460,3.311487,0.501903,0.286226,3.307365,0.000475,0.891298,-22.958629,0.224756,0.082303,0.026239,-0.095585,-0.112369,-0.096095,-0.037309,-0.048750,-0.031108,-0.108441,-0.095308,0.023609,0.002134,0.001515,0.002379,0.001838,0.002402,0.001866,0.002337,0.001215,0.001489,0.001491,0.002174,0.001371,0.000713,0.011954,0.001873,0.003522,0.005373,0.002295,0.005092,0.000113,0.010086,0.166647,0.159424,0.123092,0.149222,0.134212,0.142951,0.098358,0.118098,0.120218,0.129096,0.124873,0.125907,0.132312,0.000919,0.000463,0.000685,0.000654,0.000597,0.000721,0.000699,0.000389,0.000567,0.000537,0.000890,0.000472,0.000165,audio_data/a
0.499499,0.061486,3.312255,0.501014,0.286348,3.311111,0.000480,0.890868,-22.963158,0.216330,0.107075,-0.012827,-0.047293,-0.041646,-0.076617,-0.116929,-0.099041,-0.043762,-0.086068,-0.077091,0.063948,0.001783,0.001454,0.002177,0.001869,0.002768,0.001900,0.001989,0.001324,0.001611,0.001638,0.002192,0.001174,0.000766,0.007471,0.001777,0.003253,0.003686,0.001471,0.004654,0.000114,0.007247,0.102329,0.123670,0.110492,0.159948,0.125640,0.142284,0.177714,0.139579,0.109898,0.124277,0.136468,0.092064,0.133958,0.000528,0.000615,0.000870,0.000785,0.000657,0.000815,0.000374,0.000553,0.000676,0.000691,0.000926,0.000426,0.000180,audio_data/a
0.508573,0.061385,3.310098,0.504476,0.285287,3.309663,0.000474,0.890773,-23.094964,0.051817,0.008300,-0.030785,-0.077786,-0.050072,-0.052235,-0.036074,-0.086623,-0.089215,-0.105218,-0.033328,0.063634,0.001899,0.001445,0.002146,0.001560,0.002159,0.001394,0.001992,0.001107,0.001558,0.001290,0.001966,0.001103,0.000665,0.012313,0.002036,0.004964,0.004855,0.001997,0.004879,0.000115,0.006734,0.169268,0.122887,0.129821,0.167452,0.104192,0.094238,0.150144,0.138656,0.129969,0.138304,0.118531,0.103617,0.118354,0.001067,0.000550,0.000534,0.000362,0.000610,0.000563,0.000534,0.000423,0.000653,0.000413,0.000731,0.000523,0.000154,audio_data/space
0.510316,0.060362,3.311861,0.504831,0.284738,3.308147,0.000484,0.891441,-23.220628,-0.002033,0.017441,-0.020600,-0.126360,-0.095017,-0.049647,-0.076362,-0.070199,-0.015493,-0.041165,-0.089390,0.069818,0.001644,0.001283,0.002056,0.001424,0.001858,0.001513,0.001845,0.001346,0.001354,0.001285,0.001848,0.001208,0.000570,0.013799,0.002054,0.003269,0.005341,0.002914,0.005360,0.000116,0.008720,0.242157,0.197522,0.164478,0.189301,0.119975,0.161482,0.169220,0.182598,0.106921,0.112329,0.102202,0.132360,0.104065,0.000674,0.000610,0.000602,0.000640,0.000670,0.000587,0.000551,0.000571,0.000442,0.000431,0.000515,0.000391,0.000141,audio_data/space
0.508454,0.061974,3.310815,0.503443,0.285503,3.307272,0.000472,0.893543,-23.072110,0.092624,0.030512,0.008527,-0.100389,-0.085549,-0.077847,-0.056568,-0.046335,-0.043694,-0.042498,-0.068883,0.073384,0.001858,0.001627,0.002132,0.001682,0.002249,0.001600,0.002029,0.001325,0.001746,0.001347,0.002062,0.001286,0.000680,0.010619,0.001784,0.002779,0.004747,0.002427,0.004950,0.000114,0.006517,0.234345,0.206850,0.144704,0.142254,0.154086,0.180380,0.163637,0.120077,0.160213,0.086772,0.133225,0.133550,0.106500,0.000553,0.000635,0.000913,0.000703,0.000634,0.000546,0.000526,0.000407,0.000924,0.000583,0.000710,0.000686,0.000165,audio_data/space
0.508764,0.060913,3.311888,0.503999,0.284511,3.305783,0.000465,0.890438,-23.112901,0.106960,0.024023,0.009424,-0.051535,-0.104841,-0.124934,-0.110367,-0.040557,-0.042600,-0.070047,-0.060575,0.037560,0.001706,0.001229,0.002143,0.001672,0.001825,0.001524,0.001851,0.001243,0.001443,0.001287,0.002259,0.001263,0.000687,0.007931,0.001928,0.003444,0.004148,0.002629,0.006527,0.000111,0.006860,0.210068,0.189379,0.133631,0.120221,0.106489,0.107305,0.093345,0.087168,0.089923,0.111998,0.117147,0.108135,0.083446,0.000657,0.000509,0.001392,0.000623,0.000554,0.000490,0.000632,0.000569,0.000601,0.000654,0.000739,0.000492,0.000260,audio_data/space
